stop_id,stop_name,zone_id,stop_lat,stop_lon
56889,Dilsukhnagar Bus Depot,Dilsukhnagar Bus Depot,17.371068,78.525539
56890,Dilsukhnagar,Dilsukhnagar,17.368443,78.523185
56891,Moosarambhagh,Moosarambhagh,17.371124,78.514754
56892,Sripuram Colony - Amberpet,Sripuram Colony - Amberpet,17.376637,78.514668
56893,Ali Cafe,Ali Cafe,17.382066,78.518212
56894,Zinda Tilismath,Zinda Tilismath,17.3876,78.5111
56895,Syndicate Bank,Syndicate Bank,17.398732,78.51256
56896,Prashanth Nagar-Shivam Road,Prashanth Nagar-Shivam Road,17.400731,78.51344
56897,Shivam,Shivam,17.405233,78.515331
56898,Vidyanagar,Vidyanagar,17.405004,78.510725
56899,Ramnagar Gundu,Ramnagar Gundu,17.407519,78.512372
56900,Ramnagar Mee Seva,Ramnagar Mee Seva,17.409177,78.50879
56901,Ramnagar X Roads,Ramnagar X Roads,17.41086,78.507257
56902,Ramnagar,Ramnagar,17.409512,78.506638
56903,Vst Bus Stop,Vst Bus Stop,17.404081,78.503789
56904,Bus Bhavan,Bus Bhavan,17.405666,78.499429
56905,Rtc X Roads,Rtc X Roads,17.408028,78.497186
56906,Golconda X Road,Golconda X Road,17.411665,78.497731
56907,Raja Deluxe Bus Stop,Raja Deluxe Bus Stop,17.415658,78.498253
56908,Musheerabad Police Station,Musheerabad Police Station,17.420579,78.500488
56909,Gandhi Hospital,Gandhi Hospital,17.424085,78.501759
56910,Bhoiguda Bus Stop,Bhoiguda Bus Stop,17.427948,78.502032
56911,Chilkalguda,Chilkalguda,17.432993,78.505978
56912,Secunderabad,Secunderabad,17.43457,78.504874
56913,Chandrayangutta,Chandrayangutta,17.327227,78.475138
56914,Farooqnagar,Farooqnagar,17.329644,78.470292
56915,Engine Bowli,Engine Bowli,17.336566,78.46795
56916,Aliabad,Aliabad,17.347587,78.470613
56917,Laldarwaza,Laldarwaza,17.351185,78.472519
56918,Shahalibanda,Shahalibanda,17.35475,78.473024
56919,Kilwat,Kilwat,17.360127,78.471375
56920,Moosabowli,Moosabowli,17.364275,78.466668
56921,City College,City College,17.367453,78.46829
56922,Madina,Madina,17.370374,78.475592
56923,Afzalgunj,Afzalgunj,17.3734,78.4759
56924,Osmangunj,Osmangunj,17.380159,78.474982
56925,Gandhi Bhavan,Gandhi Bhavan,17.388346,78.471388
56926,Nampally Railway Station,Nampally Railway Station,17.392159,78.47005
56927,Nampally Public Garden,Nampally Public Garden,17.396278,78.470819
56928,Assembly,Assembly,17.400243,78.470014
56929,Lakdikapool,Lakdikapool,17.403609,78.464974
56930,Chintal Basthi,Chintal Basthi,17.408898,78.460376
56931,Khairatabad,Khairatabad,17.414165,78.45864
56932,Khairatabad,Khairatabad,17.41589,78.457918
56933,Irram Manzil,Irram Manzil,17.420753,78.455697
56934,Nims Hospital,Nims Hospital,17.423008,78.454389
56935,Punjagutta,Punjagutta,17.426323,78.452629
56936,Pvr Mall Bus Stop,Pvr Mall Bus Stop,17.429381,78.450406
56937,Ameerpet,Ameerpet,17.431553,78.44765
56938,Maithrivanam,Maithrivanam,17.437045,78.442785
56939,State Home,State Home,17.436445,78.439537
56940,Yousufguda Basti,Yousufguda Basti,17.436489,78.433674
56941,Yousufguda Check Post,Yousufguda Check Post,17.43646,78.428089
56942,Rahamath Nagar Yusufgudda,Rahamath Nagar Yusufgudda,17.439982,78.424032
56943,Karmika-Nagar,Karmika-Nagar,17.444507,78.424156
56944,Sri Ram Nagar Yusufguda,Sri Ram Nagar Yusufguda,17.449269,78.422945
56945,Kalyan Nagar,Kalyan Nagar,17.450798,78.422821
56946,Mothinagar X Road,Mothinagar X Road,17.454095,78.42226
56947,Borabanda,Borabanda,17.454173,78.416277
56948,Mothinagar X Road,Mothinagar X Road,17.454289,78.422317
56949,Yousufguda Check Post,Yousufguda Check Post,17.437406,78.428257
56950,Bright School,Bright School,17.43394,78.436643
56951,Srinagar Colony,Srinagar Colony,17.430232,78.438974
56952,Panjaguta Metro Station,Panjaguta Metro Station,17.429261,78.450954
56953,Punjagutta,Punjagutta,17.426422,78.452737
56954,Nims Hospital,Nims Hospital,17.423164,78.454528
56955,Irram Manzil,Irram Manzil,17.420528,78.456186
56956,Somajiguda,Somajiguda,17.415926,78.457832
56957,Khairatabad,Khairatabad,17.41284,78.460568
56958,Chintal Basthi,Chintal Basthi,17.408955,78.460584
56959,Lakdikapool,Lakdikapool,17.406426,78.462755
56960,Assembly,Assembly,17.402244,78.468561
56961,Nampally Public Garden,Nampally Public Garden,17.396216,78.471274
56962,Nampally Railway Station,Nampally Railway Station,17.392076,78.470205
56963,Gandhi Bhavan,Gandhi Bhavan,17.387777,78.471984
