route_id,route_long_name,agency_id,route_type,route_short_name
9530,107VR,TGSRTC,3,107VR
9531,9Y/F,TGSRTC,3,9Y/F
9532,90U/B,TGSRTC,3,90U/B
9533,300,TGSRTC,3,300
9534,300L,TGSRTC,3,300L
9535,107VL,TGSRTC,3,107VL
9536,300/126,TGSRTC,3,300/126
9537,126/300L,TGSRTC,3,126/300L
9538,218C,TGSRTC,3,218C
9539,188/5K,TGSRTC,3,188/5K
9540,5K/251,TGSRTC,3,5K/251
9541,5K/92A,TGSRTC,3,5K/92A
9542,5K/188,TGSRTC,3,5K/188
9543,8A/U,TGSRTC,3,8A/U
9544,251/5K,TGSRTC,3,251/5K
9545,188,TGSRTC,3,188
9546,8A,TGSRTC,3,8A
9547,92A,TGSRTC,3,92A
9548,92/251A,TGSRTC,3,92/251A
9549,251A/300,TGSRTC,3,251A/300
9550,72D,TGSRTC,3,72D
9551,2V,TGSRTC,3,2V
9552,2,TGSRTC,3,2
9553,2J,TGSRTC,3,2J
9554,71K,TGSRTC,3,71K
9555,83J/272G,TGSRTC,3,83J/272G
9556,279,TGSRTC,3,279
9557,83V,TGSRTC,3,83V
9558,90L,TGSRTC,3,90L
9559,300/532,TGSRTC,3,300/532
9560,300/251,TGSRTC,3,300/251
9561,19F,TGSRTC,3,19F
9562,555,TGSRTC,3,555
9563,2C,TGSRTC,3,2C
9564,277L,TGSRTC,3,277L
9565,459,TGSRTC,3,459
9566,90D,TGSRTC,3,90D
9567,300/217,TGSRTC,3,300/217
9568,279L,TGSRTC,3,279L
9569,412/279,TGSRTC,3,412/279
9570,218D,TGSRTC,3,218D
9571,GITAM,TGSRTC,3,GITAM
9572,9X,TGSRTC,3,9X
9573,158H/F,TGSRTC,3,158H/F
9574,299X,TGSRTC,3,299X
9575,203N,TGSRTC,3,203N
9576,203N/102B,TGSRTC,3,203N/102B
9577,102B,TGSRTC,3,102B
9578,223/92A,TGSRTC,3,223/92A
9579,GITAM HIRE,TGSRTC,3,GITAM HIRE
9580,104R,TGSRTC,3,104R
9581,218/19M,TGSRTC,3,218/19M
9582,102,TGSRTC,3,102
9583,104R/127K,TGSRTC,3,104R/127K
9584,127K,TGSRTC,3,127K
9585,277,TGSRTC,3,277
9586,156/299,TGSRTC,3,156/299
9587,218H,TGSRTC,3,218H
9588,299,TGSRTC,3,299
9589,1,TGSRTC,3,1
9590,1D/205F,TGSRTC,3,1D/205F
9591,9F,TGSRTC,3,9F
9592,218,TGSRTC,3,218
9593,1/25S,TGSRTC,3,1/25S
9594,86V,TGSRTC,3,86V
9595,251/92A,TGSRTC,3,251/92A
9596,222A,TGSRTC,3,222A
9597,189M,TGSRTC,3,189M
9598,9X/272,TGSRTC,3,9X/272
9599,9X272G,TGSRTC,3,9X272G
9600,9X/230,TGSRTC,3,9X/230
9601,113M,TGSRTC,3,113M
9602,8A/K,TGSRTC,3,8A/K
9603,113V,TGSRTC,3,113V
9604,113Z/M,TGSRTC,3,113Z/M
9605,65M/123,TGSRTC,3,65M/123
9606,6R,TGSRTC,3,6R
9607,3V,TGSRTC,3,3V
9608,3K,TGSRTC,3,3K
9609,8C,TGSRTC,3,8C
9610,9M/X,TGSRTC,3,9M/X
9611,40,TGSRTC,3,40
9612,40V,TGSRTC,3,40V
9613,3KN,TGSRTC,3,3KN
9614,104A,TGSRTC,3,104A
9615,288K,TGSRTC,3,288K
9616,288D,TGSRTC,3,288D
9617,5MD,TGSRTC,3,5MD
9618,5K,TGSRTC,3,5K
9619,19K/J,TGSRTC,3,19K/J
9620,104R/218,TGSRTC,3,104R/218
9621,300/242,TGSRTC,3,300/242
9622,242YA,TGSRTC,3,242YA
9623,300A,TGSRTC,3,300A
9624,203W,TGSRTC,3,203W
9625,G-08-HIRE SPECIAL,TGSRTC,3,G-08-HIRE 
9626,203A,TGSRTC,3,203A
9627,540,TGSRTC,3,540
9628,100X,TGSRTC,3,100X
9629,1V,TGSRTC,3,1V
9630,1D/V,TGSRTC,3,1D/V
9631,1H,TGSRTC,3,1H
9632,156V,TGSRTC,3,156V
9633,158V/F,TGSRTC,3,158V/F
9634,290U,TGSRTC,3,290U
9635,300/118W,TGSRTC,3,300/118W
9636,299D,TGSRTC,3,299D
9637,1D/299,TGSRTC,3,1D/299
9638,1VM,TGSRTC,3,1VM
9639,1VS,TGSRTC,3,1VS
9640,100SS,TGSRTC,3,100SS
9641,IT SPECIAL WAVEROCK-TO-NGOSCOLONY,TGSRTC,3,IT SPECIAL
9642,290U/229,TGSRTC,3,290U/229
9643,593,TGSRTC,3,593
9644,218 I,TGSRTC,3,218 I
9645,412,TGSRTC,3,412
9646,277D,TGSRTC,3,277D
9647,290S,TGSRTC,3,290S
9648,555P,TGSRTC,3,555P
9649,505,TGSRTC,3,505
9650,49M/250,TGSRTC,3,49M/250
9651,49M,TGSRTC,3,49M
9652,290,TGSRTC,3,290
9653,288D/49M,TGSRTC,3,288D/49M
9654,G-6,TGSRTC,3,G-6
9655,GITAM G7,TGSRTC,3,GITAM G7
9656,19Y/F,TGSRTC,3,19Y/F
9657,GITHAM SPL,TGSRTC,3,GITHAM SPL
9658,217A,TGSRTC,3,217A
9659,288R,TGSRTC,3,288R
9660,GITAM-50,TGSRTC,3,GITAM-50
9661,49M/G,TGSRTC,3,49M/G
9662,116G/M,TGSRTC,3,116G/M
9663,455C,TGSRTC,3,455C
9664,251,TGSRTC,3,251
9665,100H,TGSRTC,3,100H
9666,IT SPECIAL NGOSCOLONY-TO-WAVEROCK,TGSRTC,3,IT SPECIAL
9667,216/118W,TGSRTC,3,216/118W
9668,90U,TGSRTC,3,90U
9669,127K/V,TGSRTC,3,127K/V
9670,127K/L,TGSRTC,3,127K/L
9671,315,TGSRTC,3,315
9672,316,TGSRTC,3,316
9673,288,TGSRTC,3,288
9674,8A/R,TGSRTC,3,8A/R
9675,104M,TGSRTC,3,104M
9676,104R/102,TGSRTC,3,104R/102
9677,2K,TGSRTC,3,2K
9678,72/277D,TGSRTC,3,72/277D
9679,GITAM COLLEGE SPL-G1,TGSRTC,3,GITAM COLL
9680,217,TGSRTC,3,217
9681,107VS,TGSRTC,3,107VS
9682,107,TGSRTC,3,107
9683,GITHAM-G57,TGSRTC,3,GITHAM-G57
9684,71,TGSRTC,3,71
9685,290U/F,TGSRTC,3,290U/F
9686,290U/J,TGSRTC,3,290U/J
9687,156L,TGSRTC,3,156L
9688,216,TGSRTC,3,216
9689,216M,TGSRTC,3,216M
9690,72B/J,TGSRTC,3,72B/J
9691,72J,TGSRTC,3,72J
9692,117,TGSRTC,3,117
9693,290U/250,TGSRTC,3,290U/250
9694,92A/49M,TGSRTC,3,92A/49M
9695,49M/92A,TGSRTC,3,49M/92A
9696,217C,TGSRTC,3,217C
9697,216N/L,TGSRTC,3,216N/L
9698,117B,TGSRTC,3,117B
9699,117M,TGSRTC,3,117M
9700,96B,TGSRTC,3,96B
9701,201G,TGSRTC,3,201G
9702,201M,TGSRTC,3,201M
9703,201M/D,TGSRTC,3,201M/D
9704,1L,TGSRTC,3,1L
9705,156,TGSRTC,3,156
9706,290U/205M,TGSRTC,3,290U/205M
9707,205M,TGSRTC,3,205M
9708,72H,TGSRTC,3,72H
9709,290U/201,TGSRTC,3,290U/201
9710,72H/201,TGSRTC,3,72H/201
9711,100V/208,TGSRTC,3,100V/208
9712,72H/208,TGSRTC,3,72H/208
9713,2U,TGSRTC,3,2U
9714,3N,TGSRTC,3,3N
9715,72V,TGSRTC,3,72V
9716,1X,TGSRTC,3,1X
9717,1JK,TGSRTC,3,1JK
9718,72H/204P,TGSRTC,3,72H/204P
9719,72H/201K,TGSRTC,3,72H/201K
9720,72V/I,TGSRTC,3,72V/I
9721,102J,TGSRTC,3,102J
9722,202B,TGSRTC,3,202B
9723,72,TGSRTC,3,72
9724,201K,TGSRTC,3,201K
9725,201,TGSRTC,3,201
9726,72H/204K,TGSRTC,3,72H/204K
9727,204K,TGSRTC,3,204K
9728,277BH,TGSRTC,3,277BH
9729,204U/A,TGSRTC,3,204U/A
9730,204U,TGSRTC,3,204U
9731,205A,TGSRTC,3,205A
9732,116N/L,TGSRTC,3,116N/L
9733,465,TGSRTC,3,465
9734,290K/J,TGSRTC,3,290K/J
9735,1J/L,TGSRTC,3,1J/L
9736,1J,TGSRTC,3,1J
9737,72/208,TGSRTC,3,72/208
9738,85/8C,TGSRTC,3,85/8C
9739,85,TGSRTC,3,85
9740,85P,TGSRTC,3,85P
9741,72/208C,TGSRTC,3,72/208C
9742,72L,TGSRTC,3,72L
9743,90L/D,TGSRTC,3,90L/D
9744,104A/D,TGSRTC,3,104A/D
9745,ECIL-RT NO 4,TGSRTC,3,ECIL-RT NO
9746,16A,TGSRTC,3,16A
9747,290T/S,TGSRTC,3,290T/S
9748,204U/D,TGSRTC,3,204U/D
9749,202U,TGSRTC,3,202U
9750,205L,TGSRTC,3,205L
9751,524,TGSRTC,3,524
9752,ECIL RT NO 4,TGSRTC,3,ECIL RT NO
9753,100V,TGSRTC,3,100V
9754,1Z/251,TGSRTC,3,1Z/251
9755,100L,TGSRTC,3,100L
9756,94R/M,TGSRTC,3,94R/M
9757,203K,TGSRTC,3,203K
9758,94R,TGSRTC,3,94R
9759,9K,TGSRTC,3,9K
9760,86J,TGSRTC,3,86J
9761,86A,TGSRTC,3,86A
9762,86K,TGSRTC,3,86K
9763,100M,TGSRTC,3,100M
9764,300/90,TGSRTC,3,300/90
9765,90N/U,TGSRTC,3,90N/U
9766,100B,TGSRTC,3,100B
9767,100G,TGSRTC,3,100G
9768,201G/D,TGSRTC,3,201G/D
9769,158F,TGSRTC,3,158F
9770,201Q,TGSRTC,3,201Q
9771,201Q/W,TGSRTC,3,201Q/W
9772,201G/N,TGSRTC,3,201G/N
9773,1M/D,TGSRTC,3,1M/D
9774,205,TGSRTC,3,205
9775,1D,TGSRTC,3,1D
9776,116G,TGSRTC,3,116G
9777,49M/251S,TGSRTC,3,49M/251S
9778,7Z/251S,TGSRTC,3,7Z/251S
9779,251S/92A,TGSRTC,3,251S/92A
9780,7Z,TGSRTC,3,7Z
9781,7Z/251,TGSRTC,3,7Z/251
9782,251/49M,TGSRTC,3,251/49M
9783,3DN,TGSRTC,3,3DN
9784,8A/75A,TGSRTC,3,8A/75A
9785,92R,TGSRTC,3,92R
9786,8A/67L,TGSRTC,3,8A/67L
9787,103,TGSRTC,3,103
9788,105/218,TGSRTC,3,105/218
9789,251/7Z,TGSRTC,3,251/7Z
9790,95K,TGSRTC,3,95K
9791,203A/102B,TGSRTC,3,203A/102B
9792,65M,TGSRTC,3,65M
9793,102/253C,TGSRTC,3,102/253C
9794,203L/W,TGSRTC,3,203L/W
9795,178G,TGSRTC,3,178G
9796,8A/178G,TGSRTC,3,8A/178G
9797,8A/85,TGSRTC,3,8A/85
9798,G2-HIRE SPECIAL,TGSRTC,3,G2-HIRE SP
9799,6RK,TGSRTC,3,6RK
9800,BEL5-HIRE SPECIAL,TGSRTC,3,BEL5-HIRE 
9801,203A/3K,TGSRTC,3,203A/3K
9802,277N,TGSRTC,3,277N
9803,83J/A,TGSRTC,3,83J/A
9804,95M,TGSRTC,3,95M
9805,95,TGSRTC,3,95
9806,1Z,TGSRTC,3,1Z
9807,203AK,TGSRTC,3,203AK
9808,156/505,TGSRTC,3,156/505
9809,156V/505,TGSRTC,3,156V/505
9810,218V,TGSRTC,3,218V
9811,279U,TGSRTC,3,279U
9812,5K/92R,TGSRTC,3,5K/92R
9813,102M,TGSRTC,3,102M
9814,203AK/102B,TGSRTC,3,203AK/102B
9815,206,TGSRTC,3,206
9816,464,TGSRTC,3,464
9817,8A/251,TGSRTC,3,8A/251
9818,412/277,TGSRTC,3,412/277
9819,277P,TGSRTC,3,277P
9820,277/412,TGSRTC,3,277/412
9821,205F,TGSRTC,3,205F
9822,486,TGSRTC,3,486
9823,85M,TGSRTC,3,85M
9824,532,TGSRTC,3,532
9825,443,TGSRTC,3,443
9826,277MP,TGSRTC,3,277MP
9827,463,TGSRTC,3,463
9828,72H/205,TGSRTC,3,72H/205
9829,72H/205J,TGSRTC,3,72H/205J
9830,72KH,TGSRTC,3,72KH
9831,203A/R,TGSRTC,3,203A/R
9832,72KH/205J,TGSRTC,3,72KH/205J
9833,525,TGSRTC,3,525
9834,299L,TGSRTC,3,299L
9835,488,TGSRTC,3,488
9836,253L,TGSRTC,3,253L
9837,253G,TGSRTC,3,253G
9838,208D,TGSRTC,3,208D
9839,290U/202T,TGSRTC,3,290U/202T
9840,290U/204,TGSRTC,3,290U/204
9841,439,TGSRTC,3,439
9842,5K/188A,TGSRTC,3,5K/188A
9843,188/251,TGSRTC,3,188/251
9844,277K,TGSRTC,3,277K
9845,277/440,TGSRTC,3,277/440
9846,440,TGSRTC,3,440
9847,277M,TGSRTC,3,277M
9848,85C,TGSRTC,3,85C
9849,290U/206,TGSRTC,3,290U/206
9850,462,TGSRTC,3,462
9851,G6-IG MINT,TGSRTC,3,G6-IG MINT
9852,250,TGSRTC,3,250
9853,90/250,TGSRTC,3,90/250
9854,290K,TGSRTC,3,290K
9855,290A/U,TGSRTC,3,290A/U
9856,7Z/95K,TGSRTC,3,7Z/95K
9857,142Y,TGSRTC,3,142Y
9858,444E,TGSRTC,3,444E
9859,290U/463,TGSRTC,3,290U/463
9860,7Z/92A,TGSRTC,3,7Z/92A
9861,288XR,TGSRTC,3,288XR
9862,288M,TGSRTC,3,288M
9863,463F,TGSRTC,3,463F
9864,118X,TGSRTC,3,118X
9865,92A/215,TGSRTC,3,92A/215
9866,49M/T/250,TGSRTC,3,49M/T/250
9867,469,TGSRTC,3,469
9868,72H/463,TGSRTC,3,72H/463
9869,485/277,TGSRTC,3,485/277
